Datum;Auftrag #;Transaktionen;Symbol;Name;ISIN;Anzahl;Stückpreis;Kosten;Aufgelaufene Zinsen;Nettobetrag;Saldo;Währung
24-04-2025 08:15:42;00000000;Dividende;NESN;"NESTLE N";CH0038863350;1.0;39.65;13.88;0.00;25.77;7414.43;CHF
22-12-2025 08:16:54;00000000;Dividende;VGIT;"VANGUARD INTRMDIAT TRM TRSRY ETF";US92206C7065;1.0;4.85;1.46;0.00;3.39;8747.38;USD
24-03-2025 16:05:59;224902742;Verkauf;NESN;"NESTLE N";CH0038863350;99.0;89.98;38.30;0.00;8869.70;87.92;CHF
21-03-2025 20:21:23;224595634;Kauf;NESN;"NESTLE N";CH0038863350;100.0;90.00;36.75;0.00;-9036.75;-8781.78;CHF
20-02-2025 15:30:13;218744325;Kauf;V;"VISA CL A ORD";US92826C8394;5.0;355.23;13.51;0.00;-1789.66;4096.92;USD
22-05-2025 19:48:18;236373260;Kauf;BTC;"BTC";EX0X00XBT000;0.00600509;98926.00;5.94;0.00;-600.00;154.95;EUR
10-04-2025 15:30:00;228568903;Buy-to-Open;NVDA APR25 119C;"NVDA APR25 2025-04-11 119C 100";SQ0148952695;1.0;0.97;5.45;0.00;-102.45;-102.45;USD
14-04-2025 14:33:27;229245457;Expiration;NVDA APR25 119C;"NVDA APR25 2025-04-11 119C 100";SQ0148952695;1.0;0;0.00;0.00;-;;USD
20-12-2025 11:42:01;00000000;Kartentransaktion;;"COFFEE SHOP";;1.0;-19.09;0.29;0.00;-19.38;6191.25;CHF
01-01-2025 11:46:23;00000000;Zinsen auf Einlagen;;;;1.0;0.39;0.00;0.00;0.39;187.16;CHF
